alien_04.png, 5, 5, 224, 208
alien_ship.png, 5, 223, 224, 128
alien_03.png, 239, 5, 160, 208
alien_02.png, 239, 223, 192, 192
blast_06.png, 409, 5, 192, 192
alien_08.png, 5, 361, 176, 192
cannon_projectile.png, 191, 361, 32, 96
alien_05.png, 233, 425, 192, 176
alien_06.png, 5, 563, 160, 192
alien_projectile.png, 175, 563, 48, 112
blast_01.png, 191, 467, 32, 32
alien_07.png, 435, 425, 160, 192
alien_01.png, 233, 611, 192, 160
blast_05.png, 5, 765, 160, 160
cannon.png, 441, 207, 192, 128
blast_04.png, 611, 5, 128, 128
blast_03.png, 435, 627, 96, 96
blast_02.png, 541, 627, 64, 64
